"Participant_ID","State","Rule_type","Rule_order","pre_test_level","Pre_Test","Post_Test","Problem","ProblemStep","TrueTimeSpentOnStep","TimeSpent","Gain","n_gain"
"thinkaloudp0101","Rule_following","R3",3,"low",0,0.67,3,3,5.94900012016296,3.967,0.67,0.67
"thinkaloudp0101","Rule_following","R3",6,"low",0,0.67,9,1,12.0539999008179,7.227,0.67,0.67
"thinkaloudp0101","Rule_following","R1",3,"low",0,0.67,3,1,8.58100032806396,1.662,0.67,0.67
"thinkaloudp0101","Rule_following","R6",3,"low",0,0.67,9,2,15.4170002937317,9.563,0.67,0.67
"thinkaloudp0101","Rule_following","R3",2,"low",0,0.67,2,3,22.0980000495911,18.917,0.67,0.67
"thinkaloudp0101","Rule_following","R6",1,"low",0,0.67,7,2,28.6519999504089,13.71,0.67,0.67
"thinkaloudp0101","Rule_search","R4",3,"low",0,0.67,5,1,43.7129998207092,8.579,0.67,0.67
"thinkaloudp0101","Rule_search","R5",3,"low",0,0.67,6,3,24.9730000495911,8.027,0.67,0.67
"thinkaloudp0101","Rule_search","R5",1,"low",0,0.67,4,3,65.654000043869,32.89,0.67,0.67
"thinkaloudp0101","Rule_search","R4",1,"low",0,0.67,4,1,111.273999929428,56.99,0.67,0.67
"thinkaloudp0101","Rule_violation","R4",3,"low",0,0.67,5,1,43.7129998207092,5.677,0.67,0.67
"thinkaloudp0101","Rule_violation","R5",3,"low",0,0.67,6,3,24.9730000495911,6.553,0.67,0.67
"thinkaloudp0115","Follow_wrong","R4",1,"high",0.5,0.67,4,1,57.829999923706,6.507,0.17,0.34
"thinkaloudp0115","Follow_wrong","R6",1,"high",0.5,0.67,7,2,48.422000169754,28.815,0.17,0.34
"thinkaloudp0115","Reading_question","R2",2,"high",0.5,0.67,2,2,12.188000202179,2.263,0.17,0.34
"thinkaloudp0115","Reading_question","R4",5,"high",0.5,0.67,6,1,12.3800001144409,3.92,0.17,0.34
"thinkaloudp0115","Reading_question","R3",5,"high",0.5,0.67,8,1,10.9580001831055,3.534,0.17,0.34
"thinkaloudp0115","Reading_question","R2",1,"high",0.5,0.67,1,2,17.3109998703003,3.755,0.17,0.34
"thinkaloudp0115","Reading_question","R1",1,"high",0.5,0.67,1,1,9.06900000572205,4.276,0.17,0.34
"thinkaloudp0115","Reading_question","R7",3,"high",0.5,0.67,9,4,45.6370000839233,6.328,0.17,0.34
"thinkaloudp0115","Reading_question","R3",6,"high",0.5,0.67,9,1,17.6730000972748,5.578,0.17,0.34
"thinkaloudp0115","Reading_question","R1",3,"high",0.5,0.67,3,1,7.26300001144409,4.254,0.17,0.34
"thinkaloudp0115","Reading_question","R6",1,"high",0.5,0.67,7,2,48.422000169754,5.997,0.17,0.34
"thinkaloudp0115","Reading_question","R3",3,"high",0.5,0.67,3,3,6.49000024795532,1.768,0.17,0.34
"thinkaloudp0115","Reading_question","R5",1,"high",0.5,0.67,4,3,116.05999994278,18.565,0.17,0.34
"thinkaloudp0115","Reading_question","R6",3,"high",0.5,0.67,9,2,12.0529999732971,7.415,0.17,0.34
"thinkaloudp0115","Reading_question","R4",2,"high",0.5,0.67,4,2,19.8740000724792,5.279,0.17,0.34
"thinkaloudp0115","Reading_question","R7",2,"high",0.5,0.67,8,3,11.914999961853,4.149,0.17,0.34
"thinkaloudp0115","Reading_question","R4",4,"high",0.5,0.67,5,2,8.73099994659424,4.551,0.17,0.34
"thinkaloudp0115","Reading_question","R4",6,"high",0.5,0.67,6,2,7.41199994087219,2.709,0.17,0.34
"thinkaloudp0115","Reading_question","R4",3,"high",0.5,0.67,5,1,17.2230000495911,7.018,0.17,0.34
"thinkaloudp0115","Reading_question","R6",2,"high",0.5,0.67,8,2,22.566999912262,7.209,0.17,0.34
"thinkaloudp0115","Reading_question","R5",2,"high",0.5,0.67,5,3,22.819000005722,5.583,0.17,0.34
"thinkaloudp0115","Reading_question","R2",3,"high",0.5,0.67,3,2,4.35199975967407,1.598,0.17,0.34
"thinkaloudp0115","Reading_question","R3",2,"high",0.5,0.67,2,3,15.1609997749329,1.541,0.17,0.34
"thinkaloudp0115","Reading_question","R1",2,"high",0.5,0.67,2,1,10.4809999465942,3.267,0.17,0.34
"thinkaloudp0115","Reading_question","R3",1,"high",0.5,0.67,1,3,15.9879999160767,1.895,0.17,0.34
"thinkaloudp0115","Reading_question","R7",1,"high",0.5,0.67,7,3,9.32399988174438,3.89,0.17,0.34
"thinkaloudp0115","Reading_question","R3",4,"high",0.5,0.67,7,1,12.3610000610352,4.889,0.17,0.34
"thinkaloudp0115","Reading_question","R4",1,"high",0.5,0.67,4,1,57.829999923706,7.945,0.17,0.34
"thinkaloudp0115","Rule_discovery","R5",1,"high",0.5,0.67,4,3,116.05999994278,7.273,0.17,0.34
"thinkaloudp0115","Rule_discovery","R4",1,"high",0.5,0.67,4,1,57.829999923706,5.98,0.17,0.34
"thinkaloudp0115","Rule_discovery","R6",1,"high",0.5,0.67,7,2,48.422000169754,7.098,0.17,0.34
"thinkaloudp0115","Rule_following","R1",1,"high",0.5,0.67,1,1,9.06900000572205,4.329,0.17,0.34
"thinkaloudp0115","Rule_following","R4",3,"high",0.5,0.67,5,1,17.2230000495911,9.144,0.17,0.34
"thinkaloudp0115","Rule_following","R1",3,"high",0.5,0.67,3,1,7.26300001144409,2.127,0.17,0.34
"thinkaloudp0115","Rule_following","R3",6,"high",0.5,0.67,9,1,17.6730000972748,11.825,0.17,0.34
"thinkaloudp0115","Rule_following","R6",3,"high",0.5,0.67,9,2,12.0529999732971,4.081,0.17,0.34
"thinkaloudp0115","Rule_following","R3",3,"high",0.5,0.67,3,3,6.49000024795532,3.931,0.17,0.34
"thinkaloudp0115","Rule_following","R6",2,"high",0.5,0.67,8,2,22.566999912262,14.422,0.17,0.34
"thinkaloudp0115","Rule_following","R7",1,"high",0.5,0.67,7,3,9.32399988174438,4.556,0.17,0.34
"thinkaloudp0115","Rule_following","R4",6,"high",0.5,0.67,6,2,7.41199994087219,4.024,0.17,0.34
"thinkaloudp0115","Rule_following","R7",2,"high",0.5,0.67,8,3,11.914999961853,6.822,0.17,0.34
"thinkaloudp0115","Rule_following","R3",5,"high",0.5,0.67,8,1,10.9580001831055,5.529,0.17,0.34
"thinkaloudp0115","Rule_following","R5",3,"high",0.5,0.67,6,3,9.30799984931946,8.378,0.17,0.34
"thinkaloudp0115","Rule_following","R2",2,"high",0.5,0.67,2,2,12.188000202179,8.697,0.17,0.34
"thinkaloudp0115","Rule_following","R3",4,"high",0.5,0.67,7,1,12.3610000610352,6.67,0.17,0.34
"thinkaloudp0115","Rule_following","R2",3,"high",0.5,0.67,3,2,4.35199975967407,1.758,0.17,0.34
"thinkaloudp0115","Rule_following","R7",3,"high",0.5,0.67,9,4,45.6370000839233,38.413,0.17,0.34
"thinkaloudp0115","Rule_following","R4",2,"high",0.5,0.67,4,2,19.8740000724792,13.628,0.17,0.34
"thinkaloudp0115","Rule_following","R3",1,"high",0.5,0.67,1,3,15.9879999160767,12.851,0.17,0.34
"thinkaloudp0115","Rule_following","R6",4,"high",0.5,0.67,9,3,7.73300004005432,6.894,0.17,0.34
"thinkaloudp0115","Rule_following","R2",1,"high",0.5,0.67,1,2,17.3109998703003,12.638,0.17,0.34
"thinkaloudp0115","Rule_following","R3",2,"high",0.5,0.67,2,3,15.1609997749329,12.517,0.17,0.34
"thinkaloudp0115","Rule_following","R1",2,"high",0.5,0.67,2,1,10.4809999465942,6.201,0.17,0.34
"thinkaloudp0115","Rule_following","R5",2,"high",0.5,0.67,5,3,22.819000005722,16.217,0.17,0.34
"thinkaloudp0115","Rule_following","R4",5,"high",0.5,0.67,6,1,12.3800001144409,7.052,0.17,0.34
"thinkaloudp0115","Rule_following","R4",4,"high",0.5,0.67,5,2,8.73099994659424,3.55,0.17,0.34
"thinkaloudp0115","Rule_search","R5",1,"high",0.5,0.67,4,3,116.05999994278,89.697,0.17,0.34
"thinkaloudp0115","Rule_search","R4",1,"high",0.5,0.67,4,1,57.829999923706,36.746,0.17,0.34
"thinkaloudp0115","Rule_search","R6",1,"high",0.5,0.67,7,2,48.422000169754,5.615,0.17,0.34
"thinkaloudp0207","Follow_wrong","R7",1,"low",0.17,0.83,7,3,69.4790000915527,34.836,0.66,0.795180722891566
"thinkaloudp0207","Follow_wrong","R2",1,"low",0.17,0.83,1,2,39.3049998283386,10.043,0.66,0.795180722891566
"thinkaloudp0207","Follow_wrong","R4",1,"low",0.17,0.83,4,1,114.069000005722,7.085,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R4",6,"low",0.17,0.83,6,2,19.1770000457764,5.938,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R3",3,"low",0.17,0.83,3,3,11.760999917984,5.476,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R5",2,"low",0.17,0.83,5,3,34.4040002822876,9.69,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R5",3,"low",0.17,0.83,6,3,21.9549999237061,5.753,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R6",4,"low",0.17,0.83,9,3,23.3810000419617,9.743,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R6",3,"low",0.17,0.83,9,2,105.763999938965,8.051,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R4",3,"low",0.17,0.83,5,1,16.6840000152588,5.049,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R6",1,"low",0.17,0.83,7,2,58.6499998569489,10.217,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R3",1,"low",0.17,0.83,1,3,18.2369999885559,6.56,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R3",6,"low",0.17,0.83,9,1,41.9930000305176,32.13,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R7",1,"low",0.17,0.83,7,3,69.4790000915527,7.972,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R4",4,"low",0.17,0.83,5,2,17.2809996604919,3.014,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R1",1,"low",0.17,0.83,1,1,18.2140002250671,8.547,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R3",2,"low",0.17,0.83,2,3,19.9720001220703,8.211,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R4",1,"low",0.17,0.83,4,1,114.069000005722,15.703,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R7",3,"low",0.17,0.83,9,4,52.202999830246,6.635,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R2",3,"low",0.17,0.83,3,2,7.74600028991699,2.465,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R7",2,"low",0.17,0.83,8,3,46.7439999580383,11.375,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R5",1,"low",0.17,0.83,4,3,110.644999980927,14.503,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R4",2,"low",0.17,0.83,4,2,39.164999961853,3.941,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R2",2,"low",0.17,0.83,2,2,14.0360000133514,3.814,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R1",2,"low",0.17,0.83,2,1,21.5799999237061,10.419,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R1",3,"low",0.17,0.83,3,1,29.231999874115,10.066,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R4",5,"low",0.17,0.83,6,1,24.8140001296997,10.594,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R3",5,"low",0.17,0.83,8,1,38.1620001792908,27.733,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R2",1,"low",0.17,0.83,1,2,39.3049998283386,15.211,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R6",2,"low",0.17,0.83,8,2,22.9400000572205,7.349,0.66,0.795180722891566
"thinkaloudp0207","Reading_question","R3",4,"low",0.17,0.83,7,1,55.0230000019073,39.936,0.66,0.795180722891566
"thinkaloudp0207","Rule_discovery","R6",3,"low",0.17,0.83,9,2,105.763999938965,9.07,0.66,0.795180722891566
"thinkaloudp0207","Rule_discovery","R5",1,"low",0.17,0.83,4,3,110.644999980927,23.756,0.66,0.795180722891566
"thinkaloudp0207","Rule_discovery","R7",1,"low",0.17,0.83,7,3,69.4790000915527,20.185,0.66,0.795180722891566
"thinkaloudp0207","Rule_discovery","R4",1,"low",0.17,0.83,4,1,114.069000005722,55.766,0.66,0.795180722891566
"thinkaloudp0207","Rule_discovery","R2",1,"low",0.17,0.83,1,2,39.3049998283386,1.17,0.66,0.795180722891566
"thinkaloudp0207","Rule_discovery","R6",1,"low",0.17,0.83,7,2,58.6499998569489,29.093,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R6",2,"low",0.17,0.83,8,2,22.9400000572205,15.018,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R2",3,"low",0.17,0.83,3,2,7.74600028991699,4.409,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R7",2,"low",0.17,0.83,8,3,46.7439999580383,34.59,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R4",3,"low",0.17,0.83,5,1,16.6840000152588,10.947,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R1",1,"low",0.17,0.83,1,1,18.2140002250671,8.347,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R4",5,"low",0.17,0.83,6,1,24.8140001296997,13.708,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R3",4,"low",0.17,0.83,7,1,55.0230000019073,14.503,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R3",1,"low",0.17,0.83,1,3,18.2369999885559,10.705,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R4",6,"low",0.17,0.83,6,2,19.1770000457764,12.603,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R1",3,"low",0.17,0.83,3,1,29.231999874115,18.419,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R3",2,"low",0.17,0.83,2,3,19.9720001220703,10.828,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R6",4,"low",0.17,0.83,9,3,23.3810000419617,12.918,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R4",4,"low",0.17,0.83,5,2,17.2809996604919,13.211,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R1",2,"low",0.17,0.83,2,1,21.5799999237061,10.647,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R5",2,"low",0.17,0.83,5,3,34.4040002822876,23.636,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R3",5,"low",0.17,0.83,8,1,38.1620001792908,9.794,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R3",3,"low",0.17,0.83,3,3,11.760999917984,5.477,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R3",6,"low",0.17,0.83,9,1,41.9930000305176,9.193,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R2",2,"low",0.17,0.83,2,2,14.0360000133514,9.724,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R7",3,"low",0.17,0.83,9,4,52.202999830246,46.961,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R4",2,"low",0.17,0.83,4,2,39.164999961853,34.61,0.66,0.795180722891566
"thinkaloudp0207","Rule_following","R5",3,"low",0.17,0.83,6,3,21.9549999237061,15.151,0.66,0.795180722891566
"thinkaloudp0207","Rule_search","R4",1,"low",0.17,0.83,4,1,114.069000005722,35.049,0.66,0.795180722891566
"thinkaloudp0207","Rule_search","R6",3,"low",0.17,0.83,9,2,105.763999938965,30.69,0.66,0.795180722891566
"thinkaloudp0207","Rule_search","R6",1,"low",0.17,0.83,7,2,58.6499998569489,18.17,0.66,0.795180722891566
"thinkaloudp0207","Rule_search","R2",1,"low",0.17,0.83,1,2,39.3049998283386,12.137,0.66,0.795180722891566
"thinkaloudp0207","Rule_search","R5",1,"low",0.17,0.83,4,3,110.644999980927,71.388,0.66,0.795180722891566
"thinkaloudp0207","Rule_search","R7",1,"low",0.17,0.83,7,3,69.4790000915527,5.479,0.66,0.795180722891566
"thinkaloudp0207","Rule_violation","R6",3,"low",0.17,0.83,9,2,105.763999938965,57.383,0.66,0.795180722891566
"thinkaloudp0213","Follow_wrong","R6",1,"low",0.33,0.5,7,2,78.1280000209808,40.216,0.17,0.253731343283582
"thinkaloudp0213","Follow_wrong","R7",1,"low",0.33,0.5,7,3,85.3599998950958,51.239,0.17,0.253731343283582
"thinkaloudp0213","Follow_wrong","R4",1,"low",0.33,0.5,4,1,126.337999820709,6.282,0.17,0.253731343283582
"thinkaloudp0213","Follow_wrong","R1",2,"low",0.33,0.5,2,1,39.2739999294281,5.566,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R3",1,"low",0.33,0.5,1,3,10.893000125885,5.978,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R1",2,"low",0.33,0.5,2,1,39.2739999294281,22.925,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R5",1,"low",0.33,0.5,4,3,35.2320001125336,13.932,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R2",3,"low",0.33,0.5,3,2,7.62000012397766,3.959,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R4",2,"low",0.33,0.5,4,2,20.4689998626709,10.829,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R2",2,"low",0.33,0.5,2,2,25.4810001850128,3.305,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R2",1,"low",0.33,0.5,1,2,13.470999956131,7.492,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R6",1,"low",0.33,0.5,7,2,78.1280000209808,10.455,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R5",2,"low",0.33,0.5,5,3,30.3939998149872,6.537,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R7",1,"low",0.33,0.5,7,3,85.3599998950958,21.073,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R4",5,"low",0.33,0.5,6,1,21.1480002403259,16.226,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R4",4,"low",0.33,0.5,5,2,20.7780001163483,4.959,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R3",3,"low",0.33,0.5,3,3,7.01799988746643,2.699,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R3",4,"low",0.33,0.5,7,1,26.0110001564026,5.266,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R1",3,"low",0.33,0.5,3,1,18.5329999923706,14.483,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R4",3,"low",0.33,0.5,5,1,25.9140000343323,9.465,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R4",6,"low",0.33,0.5,6,2,14.8649997711182,5.243,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R6",3,"low",0.33,0.5,9,2,38.6399998664856,6.016,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R6",4,"low",0.33,0.5,9,3,21.8289999961853,15.937,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R4",1,"low",0.33,0.5,4,1,126.337999820709,14.113,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R1",1,"low",0.33,0.5,1,1,8.66599988937378,4.789,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R6",2,"low",0.33,0.5,8,2,35.5390000343323,7.651,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R5",3,"low",0.33,0.5,6,3,18.9250001907349,12.218,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R7",3,"low",0.33,0.5,9,4,54.3400001525879,5.323,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R3",6,"low",0.33,0.5,9,1,21.4110000133514,6.943,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R7",2,"low",0.33,0.5,8,3,68.0869998931885,8.903,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R3",5,"low",0.33,0.5,8,1,19.0230002403259,4.173,0.17,0.253731343283582
"thinkaloudp0213","Reading_question","R3",2,"low",0.33,0.5,2,3,19.4099998474121,5.455,0.17,0.253731343283582
"thinkaloudp0213","Rule_discovery","R5",1,"low",0.33,0.5,4,3,35.2320001125336,8.31,0.17,0.253731343283582
"thinkaloudp0213","Rule_discovery","R2",2,"low",0.33,0.5,2,2,25.4810001850128,1.864,0.17,0.253731343283582
"thinkaloudp0213","Rule_discovery","R5",2,"low",0.33,0.5,5,3,30.3939998149872,7.966,0.17,0.253731343283582
"thinkaloudp0213","Rule_discovery","R7",1,"low",0.33,0.5,7,3,85.3599998950958,2.848,0.17,0.253731343283582
"thinkaloudp0213","Rule_discovery","R1",2,"low",0.33,0.5,2,1,39.2739999294281,9.173,0.17,0.253731343283582
"thinkaloudp0213","Rule_discovery","R4",1,"low",0.33,0.5,4,1,126.337999820709,17.641,0.17,0.253731343283582
"thinkaloudp0213","Rule_discovery","R6",1,"low",0.33,0.5,7,2,78.1280000209808,5.09,0.17,0.253731343283582
"thinkaloudp0213","Rule_discovery","R6",3,"low",0.33,0.5,9,2,38.6399998664856,1.734,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R2",2,"low",0.33,0.5,2,2,25.4810001850128,5.224,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R6",4,"low",0.33,0.5,9,3,21.8289999961853,4.987,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R4",4,"low",0.33,0.5,5,2,20.7780001163483,14.972,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R4",6,"low",0.33,0.5,6,2,14.8649997711182,8.868,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R2",3,"low",0.33,0.5,3,2,7.62000012397766,3.1,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R3",1,"low",0.33,0.5,1,3,10.893000125885,3.901,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R3",6,"low",0.33,0.5,9,1,21.4110000133514,13.752,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R6",3,"low",0.33,0.5,9,2,38.6399998664856,1.802,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R3",3,"low",0.33,0.5,3,3,7.01799988746643,3.443,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R4",2,"low",0.33,0.5,4,2,20.4689998626709,8.822,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R5",3,"low",0.33,0.5,6,3,18.9250001907349,5.808,0.17,0.253731343283582
"thinkaloudp0213","Rule_following","R3",2,"low",0.33,0.5,2,3,19.4099998474121,12.851,0.17,0.253731343283582
