"Participant_ID","Problem","ProblemStep","TrueTimeSpentOnStep"
"thinkaloudp0802",9,0,12.9859998226166
"thinkaloudp0912",1,0,18.4360001087189
"thinkaloudp0912",2,0,11.356999874115
"thinkaloudp0912",3,0,10.356999874115
"thinkaloudp0912",4,0,22.0560002326965
"thinkaloudp0912",5,0,20.9090001583099
"thinkaloudp0912",6,0,15.8320002555847
"thinkaloudp0912",7,0,22.5540001392365
"thinkaloudp0912",8,0,14.2020001411438
"thinkaloudp0912",9,0,13.9360001087189
"thinkaloudp1006",1,0,23.3069999217987
"thinkaloudp1006",2,0,17.3069999217987
"thinkaloudp1006",3,0,9.63899993896484
"thinkaloudp1006",4,0,20.9409999847412
"thinkaloudp1006",5,0,32.8340001106262
"thinkaloudp1006",6,0,29.8589999675751
"thinkaloudp1006",7,0,33.800999879837
"thinkaloudp1006",8,0,22.422000169754
"thinkaloudp1006",9,0,24.2950000762939
"thinkaloudp1110",1,0,19.0169999599457
"thinkaloudp1110",2,0,15.8720002174377
"thinkaloudp1110",3,0,13.4730000495911
"thinkaloudp1110",4,0,16.8869998455048
"thinkaloudp1110",5,0,21.2239999771118
"thinkaloudp1110",6,0,17.7309999465942
"thinkaloudp1110",7,0,21.029000043869
"thinkaloudp1110",8,0,14.4979996681213
"thinkaloudp1110",9,0,16.1559998989105
"thinkaloudp1111",1,0,21.3819999694824
"thinkaloudp1111",2,0,12.7869999408722
"thinkaloudp1111",3,0,11.701000213623
"thinkaloudp1111",4,0,20.7639999389648
"thinkaloudp1111",5,0,19.9949998855591
"thinkaloudp1111",6,0,24.7709999084473
"thinkaloudp1111",7,0,18.0370001792908
"thinkaloudp1111",8,0,16.4879999160767
"thinkaloudp1111",9,0,18.4939999580383
"thinkaloudp1203",1,0,17.9160001277924
"thinkaloudp1203",2,0,17.8379998207092
"thinkaloudp1203",3,0,10.8199999332428
"thinkaloudp1203",4,0,16.9129998683929
"thinkaloudp1203",5,0,15.9579999446869
"thinkaloudp1203",6,0,19.8919999599457
"thinkaloudp1203",7,0,15.0080001354218
"thinkaloudp1203",8,0,12.7490000724792
"thinkaloudp1203",9,0,16.7360000610352
"thinkaloudp1212",1,0,15.923999786377
"thinkaloudp1212",2,0,13.0979998111725
"thinkaloudp1212",3,0,5.40100002288818
"thinkaloudp1212",4,0,19.9200000762939
"thinkaloudp1212",5,0,14.7330002784729
"thinkaloudp1212",6,0,11.1560001373291
"thinkaloudp1212",7,0,18.2469999790192
"thinkaloudp1212",8,0,10.4570000171661
"thinkaloudp1212",9,0,11.1810002326965
